,Kazna medijskom mogulu obnovila raspravu u Make,doniji,False," 
",
,""" Dojam je da su koraci poduzeti prema tim medijima , kojima su izrečene presude , selektivni te da institucije ne koriste iste metode u provođenju zakona prema svim medijima "" , izjavila je za SETimes ravnateljica Medijskog instituta Make",donije,False," Biljana Petkovska . 
",
,"Neki novinari , a posebice bivši zaposlenici A1 TV , tvrde da taj slučaj , pod nazivom "" Paukova mreža "" , predstavlja borbu između vlade i tada najmoćnije televizijske postaje u Make",doniji,False," , koja je kritizirala njezinu politiku i podupirala oporbu . 
",
,Taseva je rekla da je Transparency podnio zahtjev Ustavnom sudu Make,donije,False," za preispitivanje zakonitosti zapljene . 
",
,Sloboda govora u Make,doniji,False," živa je i zdrava , a novinari sa A1 TV koji su ostali bez posla sada ponovno rade u svojoj profesiji . 
",
,Branko Crvenkovski : Make,donija,False," je ispunila uvjete za NATO 
",
,"Članstvo u NATO-u za Albaniju , Hrvatsku i Make",doniju,False," uvelike će doprinijeti daljoj stabilizaciji zapadnog Balkana , kaže makedonski predsjednik Branko Crvenkovski u ekskluzivnom intervjuu za Southeast European Times . 
",
,Setimes : Kako bi nezavisnost mogla utjecati na Make,doniju,False," i njene odnose sa Srbijom ? 
",
,Crvenkovski : Republika Make,donija,False," još nije definirala svoj konačan stav prema nezavisnosti Kosova . 
",
,Setimes : Očekujete li da će Make,donija,False," dobiti poziv na samitu u Bukureštu i kako će to utjecati na sigurnosnu situaciju u regiji ? 
",
,Crvenkovski : Republika Make,donija,False," ispunila je sve uvjete nužne za dobivanje pozivnice za NATO . 
",
,"Nema sumnje kako će naša akcesija u Savez , kao i akcesija druge dvije zemlje potpisnice Jadranske povelje - Albanije i Hrvatske - uvelike pri",donijeti,False," dodatnoj stabilizaciji regije . 
",
,Setimes : Predstavlja li razmirica oko imena između Make,donije,False, i Grčke zapreku primanju Make," u NATO ? 
"
,Crvenkovski : Razmirica oko imena između Make,donije,False," i Grčke bilateralne je prirode i ni po kojoj osnovi ne spada u kriterije za članstvo , te u načelu ne bi trebala predstavljati zapreku našoj integraciji u NATO . 
",
,"Vi i vlada imate jedinstven stav - ukoliko se izbor svede na zadržavanje imena ili poziv u NATO , Make",donija,False," mora odabrati svoje ime . 
",
,Republika Make,donija,False," iskrena je i odlučna u želji da postane članica NATO-a . 
",
,Kako ste to doživjeli i koliko Make,donija,False," dobiva svojim doprinosom tim misijama očuvanja mira ? 
",
,Crvenkovski : Kad je riječ o ključnim pitanjima za Republiku Make,doniju,False," , s vladom ostvarujem zadovoljavajuću suradnju i imamo usklađene stavove . 
",
,Setimes : Koliko je Make,donija,False," odmakla na svojem putu do punopravnog članstva u EU ? 
",
,Setimes : Očekujete li da Make,donija,False," do kraja godine dobije datum za početak pregovora ? 
",
