 ," Ñöwoöne woyowotë ince tawadiya pedämaï ïñonte bitö botö ïmotedö ante wadö ante apënedinque , Dice ",abogaa,True," , ante ede mempoga go adopoque anguïmi ïmipa "
 ," Idegoidi quëwencedänimpa , ante nänö angaïnö baï Wengonguï cedämaï ingacäimpa , ante botö dice ",ämogaa,True," "
 ," Ïñempa mïnitö guiquënë Wengonguï beyë ante ïïmaïnö ante yewëmonte ongö adämaï inte ",änewëmïnitawo,True," "
 ," Botö dice , Mïnitö waomïnique botö ïmote Ao ancemïnimpa , ante ",apënebogaa,True," "
 ," Ante pïïñönäni në ëacä weetë adocanque ingante apënedinque , ‘ Ïñempa botö bitö ïmite wëne wëne ",cebogaa,True," "
 ," Caboda wengä ince dice pönömi ",ëmogaa,True," "
 ," Mänïnö ante ïinque odömonte apënedinque Itota tömënäni ïnänite , — Botö odömonte apënedö tömänö ante edonque ",ëñëmïnitawo,True," "
 ," Bitö änö ante ebänö ämii , ante dice ",ëñëmogaa,True," "
 ," Botö dice tömengä mïñë ",gobogaa,True," "
 ," Ante apëneyongä Pegodo weetë , Dice bitö angänö ",ïmogaa,True," , angantapa "
 ," Mïnitö , Waëmö pönï baceboimpa , ante cedinque ocaguï waa pönï wao wincate oodo mongente wamoncoo mongente weocoo waëmoncoo wëñate ",mongëmïnitawo,True," "
 ," Ayë , Itota ingante wënongëimpa , änäni ëñente wedinque Codaa tömengä ingante në godöningä guiquënë , Æ tömengä nänö wenguinquemë ceboïnö ante ",pönëmogaa,True," , ante guingo imonte wecantapa "
 ," Ayë apënedinque Itota , “ Inguipoga quëwënäni piyënë cete weetedö weetë cedämaï inte quëwencedänimpa , ante cecete ante Itota ïmeca pongaingä ingampa , ante mïnitö ",pönëmïnitawo,True," "
 ," Mönö Codito Önöwoca tönö ääwocaque baï ëwocadinque godongämë watapë ",quëwëmïnitawo,True," "
 ," Wacä ingante pïïninque godö babe ante ",tedewëmïnitawo,True," "
 ," Botö päö ante dice ",webogaa,True," "
 ," Ayë mönitö tönö äanque baï mïnitö nantate ",wewëmïnitawo,True," "
