 ," Weetë tömënäni näni në angaïmi ïnämaï ïmi ïninque bitö weetë , Wacä ponguingä , ante wänö cöedäni , ",ämitawoo,True," "
 ," Mänömaïnö ante apënebi ëñëninque botö weetë , Mänïöme tömäo ongöñöme pönömo ëninque bitö tömäme Awënë babaïmipa , ante wëne ince ",änewengantapa,True," "
 ," Bitö , Wengonguï ingante waa pönï cecampa , ante önöwocaque pönëninque ",apënebitawoo,True," "
 ," Öme ëacä yowementacodë da da mäo da caate wee cedinque , Tömëmö ente pïnä pïnä gäwate we yopente tömëmë enguïñömö ante cedinque ëë wote ",badongantapa,True," "
 ," Äninque ede waa cete baï queë ",bemongantapa,True," "
 ," Ayë , Wengonguï ingampa , ante näni badöinca ante në pïïmi inte bitö ede tömënäni näni apëneincönë go guiidinque ede ö ",ëmitawoo,True," "
 ," Ayë tömengä awinca ince nenque nanguï tamonte baï ñäö baï ",ëmongantapa,True," "
 ," Mänïnö beyenque tömënäni Itota ingante bei ongonte botö nempo ente mämö pede pönönänitapa , ante Pidato do ",ëñengantapa,True," "
 ," Ïninque Itota mïñë näni , Dote , ante gocabo ïñönänite tömengä , “ Mïnitö idegoidi ïnämaï ïnäni taadö godämaï inte ede Tämadiaidi näni quëwëñömö go guiidämaï ïedäni , ante da ",godongantapa,True," "
 ," Ayë Wengonguï oncö ñënenconga wënömëneca ente mëi gönongä në ",gongengantapa,True," "
 ," Änäni ëñëninque Itota , Ancaa änäni awedö , ante wewente badinque öö öö ante ",guëmangantapa,True," "
 ," Ede , Deënadio tiguitamö adotamonque pönömo encebiimpa , äñömo Ao änämaï ",ïmitawoo,True," "
 ," Mänömaï inte weyömonte mönö Codito ïñömö , Aamö cete gocemïnimpa , ante cedinque wëne wëne cete mönö wentamö mongëñö ö ente teëmë ",mongengantapa,True," "
 ," Tömengä önönempo tömempo ince nëmöidi ëmempoque go mëa ganca ",nëengantapa,True," "
 ," Godömenque apënedinque Itota ",odömongantapa,True," "
 ," Ante weyongä ede Baa äninque tömengä , Tömanta ede cöwë pönömi ëmo ate tabaïmipa , äninque ede tee mönecä ",ongongantapa,True," "
 ," Ïninque guiyantaidë ëñacä ate wäänä Wëñengä ingante weocoo wïni wïni caadinque cënënäni cenguincadedë ñö cedä ",öñongantapa,True," "
 ," Mänïnö ante äninque Itota onguipoga towe tänöninque wëä wëä gopodinque aquïmë bayonte ëninque babetamongä awinca öni öni ",pemongantapa,True," "
 ," Ayë , Mïnitö quëwëñömö botö bamönengë nanguï cebo adïmïni ince mïnitö wëne wëne mïni cedïnö ante , Ancaa wewente awedö , ante dice wemïnitawogaa , ante pïïninque Itota wayömö wayömö tömengä nänö nanguï cedïñömö quëwënäni ïnänite ïïmaïnö ante mä ",pïingantapa,True," "
 ," Ïninque bitö , “ Ode yacëimpa , ante cedinque godö mïne tïmönäni baï Wengonguï botö ïmote pönö cecete ante cedinque idegoidi ïnänite weetë wido cecampa ,” ante ",pönëmitawoo,True," "
 ," Yedëmadä ingä adinque Ootee cöwë nö cedongä inte , Pïinte änäni wece we , ante wedinque , Awëmö pango ceceboimpa , ante ",pönengantapa,True," "
 ," Mempo Wengonguï ïñömö , Mïnitö näwä wëmïni ïmïni beyë , ante tömengä Wengä Önöwoca ingante mönonga da ",pönongantapa,True," "
 ," Wade godinque tömengä Näatadeta ponte wodo penta godinque godömenque go gäwapë yewedeca Tabodööidi tönö Nempatadiidi näni owogaïme ïñömö pöninque ede Capënaömö näni quëwëñömö ponte ",quëwengantapa,True," "
 ," Angä ëñëninque Timönö Pegodo wipodë pö guiidinque dicamö ente ëmönaiya wëä ",tadongantapa,True," "
 ," “ Möitee wodi nänö wee angaïnö beyë ñä ceyente wegaïmo baï inte botö ñöwo ñï ceyente gote baï ïmo adinque wacä tömengä nänö nämä apente ëme pönënö beyenque edö cete botö ïmote apente anguingää ,” ante ",webitawoo,True," "
 ," Ænte pönäni ate wëne ince Itota ingante adinque do wëñengä ingante do do wäate baï cedinque wido cecä të go ",weengantapa,True," "
 ," Angä ëñente ente mämongä pöñongante wëne ince yeipodë be tacä do do wäate ",wewengantapa,True," "
 ," Äninque awënë cömantante ïñömö cadota ante ïïmaï ante ",yewëmongantapa,True," "
