 ," Weetë , Näwangä impa , ante acedänimpa , ante cedinque bitö , Wengonguï quï , ante në godongä weca töingä godinque waintai bitö baadintai ",odömömi,True, acecäimpa 
 , Tetedo tiguitamö nänö änintamö ,odömömïni,True, aquïmo 
 ," Ïninque , Botö abo baï ïïnänique adobaï ate baï pönencedänimpa , ante cedinque botö mïnitö ïmïnite ",odömömo,True, adinque mïnitö adobaï Mempocä ingante në ate baï pönëmïni bamïnipa 
 , Ñöwo guiquënë Wengonguï nö nänö änö ante ,odömömöni,True, ëñëninque mïnitö ïïnonque ante ede në ëñente cemïni bamïnitapa 
 , Mäninque ante ,odömömopa,True, 
 , Ïninque ede ecänö mänincaa mënonte baï ,odömöna,True, tömengä töingä mënonte baï nö ëñente odömonte apënequënengä ingampa 
 , Ñöwomïni ïmïnite mä cete ,odömönämaï,True, ingëimpa 
 ," Ïninque , Wengonguï quï , ante në godönäni ñënënäni tönö Wengonguï nänö wee angaïnö ante në ",odömönäni,True, tönö tömänäni ïnänite Edode äñecä godongämë pönänitapa 
 ," Doyedë mïnitö ëñënö ante ëñënämaï ïnäni inte tömënäni , Mïnitö tee tëwate baï oda cecemïnimpa , ante cedinque wadö ante ede ",odömönänipa,True, cemïnii 
 , ﻿ Weetë gäwapë yewedeca gote ,odömonce,True, ceyongä nanguï ïnäni tömäo goto ponte ongönäni adinque Itota wipodë go guiite të contate wäï wocente owoyongä tömënäni ayë gäwapë yewedecaque ömaaque ongönänitapa 
 ," Ayë , Wente ate tömengä tänocä në ñäni ömëmöningä ïnongä inte , Acedänimpa , ante cedinque ñäö tica ënente baï tömengä guiidënäni ïnänite wadäni ïnänite ede ",odömoncecäimpa,True," , ante yewëmongadänimpa "
 ," Ayë tömëmïni mïni pönencabo ince pancadäniya , Mönitö mïñë poncemïnimpa , ante cedinque babe wapiticë ",odömoncedänimpa,True, cemïnii 
 ," Ïninque botö änö baï cedinque mïnitö tömënäni näni angaïnö baï do ede cebaïmïnipa ,” ante Itota ",odömoncete,True, ante apënecantapa 
 , Æi ongöñongä wëne awënë ïñömö awënë odeye ömecoo inguipoga tömäo ongöñömecoo adoyömö a ongonte baï ado tedë odömöninque awënë odeyeidi waa pönï näni ëmönö adobaï ,odömongä,True, acantapa 
 ," wadäni tömänäni , Tömengä ebänö ",odömongää,True," , ante ëñëë cönäni adinque awënëidi weetë , Tömengä ingante mönö edö cete wido cequïï , ante wedinque ñimpo cegadänimpa "
 ," Weetë Möitee wodi ince ocäñeque becoïñeque ante nänö yewëmongainta adotaa yewëmöninque , Waodäni dobe ñäni ömëmonte quëwencedänimpa , ante edonque ",odömongacäimpa,True, 
 ," Itota ingante pönënäni në inguipoga quëwënäni ïñönänite tömengä tömënäni ïnänite waadete pönëninque ñöwoyedë , Botö ebänö nanguï waadete pönëmo ïmoo , ante ",odömongäimpa,True, 
 , Wengonguï mä nänö ,odömongaïnö,True," ebänö waa pönï ingateï , ante wadäni adämaï ïñönäni botö adoboque atabopa "
 ," Ayë adocä Itota ïñömö , Ïïmaï ceedäni , ante Möitee wodi nänö wee angaïnö ante Ao änämaï inte ede , Wadö ante cequënëmïni ïmïnipa , ante ",odömongampa,True," , ante ïingä Etebä ïñömö adobaï änewengä ëñentamönipa töö , ante babe apënegadänimpa "
 , Godömenque apënedinque Itota ,odömongantapa,True, 
 ," Wïï Möitee wodi nänö wee angaïnö ante ëñëmïni beyë weetë ede Wengonguï ince pönö badongä beyenque mönö tömengä ayongä nö cemö bamompa , ante ñöwo pönï ",odömongatimpa,True, 
 ," Tömënäni näni guiidënäni ince , Wëne wëne bate wecedänimpa , ante godö ",odömonguïnäni,True, ïnänipa 
 ," Ïninque tömënäni näni , Pabodo wëne wëne cecampa , ante näni pïinte änewënö ante ede , Näwangä impa , ante quïnö impa ",odömonguïnänii,True, 
 , Botö Waobo ëñagaïmo inte botö wewenguïöne do bayonte ede botö ïmote në wëne wëne cedäni ïnänite në godö ,odömonguingä,True, ïñömö do godongäï ataqueedäni 
 , Ayë Codito ñäö baï nänö ëmönö edonque pönï nänö ,odömonguïnö,True," ante botö tömengä tönö ñäö baï entawëmo ïnömo inte ede , Ëñencemïnimpa , ante nanguï ämopa "
 , Ïninque botö mïnitö weca quëwëninque ede Codito nänö në da godongaingä mä cete näni ,odömönï,True, baï adobaï odömöninque ede wentedämaï inte ee cebo abaïmïnipa 
 , Wengonguï anquedo angä ëñëninque ayë odömongä adinque botö në ,odömöningä,True, önöwa ïnö ede weente tömengä ingante watapë apënecete ante cetabopa 
 , Æi ongöñongä wëne awënë ïñömö awënë odeye ömecoo inguipoga tömäo ongöñömecoo adoyömö a ongonte baï ado tedë ,odömöninque,True, awënë odeyeidi waa pönï näni ëmönö adobaï odömongä acantapa 
 , Wïï mönö ïmonte në odömönäni näni ,odömönö,True," baï tömengä ïñömö në angä inte baï ede godömenque nöingä ante odömongä ëñëmompa , ante tedegadänimpa "
 ," Äñongä öönedë ïnö tedepämo apënedinque , “ Botö ebänö ñäö apäite ëmömo ïmopa , ante do ",odömontabopa,True, 
 , Ayë Gadideabe tömäme godinque Itota ïñömö Wengonguï apënecä näni ëñente yewëmongainta ate odömöincönë go guiite ,odömonte,True, apënegacäimpa 
