x, Ayë adobaï yowepë biïnömë näni ,ämë,True, mïïmë ëninque waodäni edö cete picë ëmontaicadedë godö pe ñïñenguïnänii 
x, Bedënabee tönö Taodo ïñömö Wengonguï Teiyë Waëmö Önöwoca mänömaï angä godïna inte Tedeotia ïñömö wei wipodë ñënempodë go guiidinque wogaa godinque wää tëïwënë Tipidebe näni ,äme,True, godatapa 
x," Botö në ëmïñënäni tönö botö bitö oncönë Patowa ëëmë ponte cencemönimpa , angampa ,” ante ",ämïna,True," ëñengäeda , angä "
x, Ayë gote quëwëñömïni botö ,ämo,True," ate pöedäni ,” angä "
 ," “ Päö yede empocëimpa , ante onquiyengä ñënengade tee manguincade ente tee mäninque edïna näni ",ämö,True, ente mempoga go adopoque da wëninque ayë yede empoquï ente pönö da wëninque wempo wempo edemö cedengä ate päömo yede empote tömäo näämenta bapa 
x," Mönö pönencabo tönö godongämë në cedäni ïñömö , Në waa cedïnäni ïnänipa , ante adinque mönö tömënäni ïnänite waa ",ämompa,True, 
 , Mönatö quïëmë ,ämöna,True," cebi waa tobaïmönapa ,"
x, De ,ämönänipa,True, 
x," Ayë godömenque , “ Öönedë Awënë Odeye nempo guiicete ante cecä ïñömö wamoncoo pededamö näni ",ämoncoo,True, godonte encete ante në diqui diqui mingä baï ingampa 
 ," Ede mïnitö gote ebänö wëñë ingante apënemïni baï botö adobaï ede gote ede weëninque ede , Wengonguï Awënë ïmidö anguënë , ante watapë apënecete ante ",ämopa,True," , ante Edode önonque ante pönëninque apënegacäimpa "
