x," Ïninque mänömaï tece ba ate wedinque mïnitö ocabo guïnï ëmencadinque , Badogaa , äninque ede , Oo pönï mönö abe tawente goquinque impa , ante ",ämäewedäni,True," ,” ante Itota apënegacäimpa "
 , Ootee mänïï wïïmonte ñäni ömëmongä ate Wengonguï nänö da pönöningä anquedo nänö ämaï ëñente cedinque oncönë ente gocä incete guëa mön,ämaï,True, ingadaimpa 
 ," Ede mönö watapë toquinque impa ,’ ante në ëabi ïñömö ",ämaïmipa,True, 
 ," Mönö , Botö cöwë wëne wëne cedämaï ingaïmo ïmopa , ante ämö ïninque Wengonguï ingantedö ante , Babe änongä ingänö , ante ",ämaïmompa,True, 
 ," Angä ëñëninque , — Bitö mïmöno wede pönëmi ate botö Ao ",ämaïmopa,True," , angantapa "
 ," Mänömaï cemïni ïninque mïnitö ömepomïni inte öönedë näni cöwë wantepiyë quëwencönë eite godinque pöñömïnite , Oncönë pöedäni , ",ämaïnänipa,True," ,” ante Itota apënecantapa "
 , Itota ebänö cete wapiticë ,ämaingää,True," , ante pönëñönäni adocanque idegoidi näni wee angaïnö ante në ate ëñënongä ïñömö Itota ingante angantapa "
 ," Angä ëñente wedinque tömengä nänö në ëmïñënäni weetë näni caboque tededinque , — Päö ente pönämaï ïmöimpa , ante Itota wabänö mänömaï beyë ",ämaingampa,True, 
x," Äñongante Itota weetë , — Wengonguï bitö tëï pïñente ",ämämo,True, ante godönämaï ingä baï bitö tömëmi tëï ämi ïmi diyë botö ïmote anguïmiyaa 
x, Bedënabee tönö Taodo ïñömö Wengonguï Teiyë Waëmö Önöwoca mänömaï angä godïna inte Tedeotia ïñömö wei wipodë ñënempodë go guiidinque wogaa godinque wää tëïwënë Tipidebe näni ,äme,True, godatapa 
x, Ayë adobaï yowepë biïnömë näni ,ämë,True, mïïmë ëninque waodäni edö cete picë ëmontaicadedë godö pe ñïñenguïnänii 
x, Näwangä ï ïninque dica ince päö ,ämi,True, ba cëmaïmipa 
x, Tömengä ede awinca guiyä më owo ëmongä baï entawente weyongante bitö weetë awempa wee ëmongä baï wee entawëmi inte edö cete ate baï tömengä ingante apente ,ämii,True, 
x," Botö në ëmïñënäni tönö botö bitö oncönë Patowa ëëmë ponte cencemönimpa , angampa ,” ante ",ämïna,True," ëñengäeda , angä "
x," Ïñempa , Ööne , ante ",ämïni,True, ïninque mïnitö Wengonguï öönedë waa pönï nänö contayömö ante apënebaïmïni apa änewëmïnii 
x, Ïñempa mänömaïnö ante pönëmïni ïninque mïnitö ede ebänö cequënëmo ïmo ,ämïnii,True, 
x, Godömenque äninque mïnitö ede në wïwa cedongä angä beyenque ,ämïnipa,True," töö ,” ante Itota odömonte apënegacäimpa "
x," Ayë Pidato , Ñimpo cebo gocecäimpa , ante apente angä ate mïnitö weetë Pidato weca ongöninque adocä ingante ante Baa ",ämïnitapa,True, 
x," Në wënongä nänö apente pante wequinque impa ,’ ante dodäni ïnänite tömengä nänö wee angaïnö ante mïnitö ïñömö do ëñëninque Ao ",ämïnitawo,True, 
x," Ayë Wabo ïmo inte cowodë baï pömo adinque mïnitö dice , Pö guiie , ",ämïnitawogaa,True, 
x," Ante Wäö mänömaï apëneyongante Oodeabe tömäo quëwënäni Eedotadëë quëwënäni tömänäni tömengä weca pö pö bee tente ëñëninque , Näwangä ",ämipa,True, 
x,"’ Ante pönëñongä tömënäni , ‘ Ïninque bitö ämi godinque abe wiquïmöni , ",ämitawo,True, 
x," Ante apënecä wedinque Codaa ïñömö Itota ingante në odömonte godonguingä ïñömö ede , — Awënë në Odömömi ëñëmi , botö ïmotedö ante ",ämitawogaa,True, 
x," Weetë tömënäni näni në angaïmi ïnämaï ïmi ïninque bitö weetë , Wacä ponguingä , ante wänö cöedäni , ",ämitawoo,True, 
x, Ayë gote quëwëñömïni botö ,ämo,True," ate pöedäni ,” angä "
x," “ Päö yede empocëimpa , ante onquiyengä ñënengade tee manguincade ente tee mäninque edïna näni ",ämö,True, ente mempoga go adopoque da wëninque ayë yede empoquï ente pönö da wëninque wempo wempo edemö cedengä ate päömo yede empote tömäo näämenta bapa 
x," Idegoidi quëwencedänimpa , ante nänö angaïnö baï Wengonguï cedämaï ingacäimpa , ante botö dice ",ämogaa,True, 
x," Mönö pönencabo tönö godongämë në cedäni ïñömö , Në waa cedïnäni ïnänipa , ante adinque mönö tömënäni ïnänite waa ",ämompa,True, 
x, Mönatö quïëmë ,ämöna,True," cebi waa tobaïmönapa ,"
x," Ayë mänïnö äñömïni awënë gobedönadodo ëñëninque , Quïmë möwëmïnii , ante pïingä adinque ede mönitö weetë wee cedinque tömengä ingante ",ämöni,True, ëñëninque tömengä pänämaï ñimpo ceyongä mïnitö guïñente wedämaï incemïnimpa 
x," Ede në wïwa cedongä nempo ongonte weyömönite bitö gä peyempote ëmi quëwencemönie , ",ämönipa,True, 
x," Äñongante Itota weetë , — Botö badä edänö ïnää ante ",ämoo,True, 
x," Ede mïnitö gote ebänö wëñë ingante apënemïni baï botö adobaï ede gote ede weëninque ede , Wengonguï Awënë ïmidö anguënë , ante watapë apënecete ante ",ämopa,True," , ante Edode önonque ante pönëninque apënegacäimpa "
