 ," Ayë , Wengonguï ingampa , ante näni badöinca ante në ",pïïmi,True, inte bitö ede tömënäni näni apëneincönë go guiidinque ede ö ëmitawoo 
 ," Wëñënäni näni wedö baï Wäö epënë mönö në guidönongä ïñömö cenguï cënämaï yowepë biïnömë näni wedenque tï nämë bedämaï ponte quëwëñongante mïnitö guiquënë , Wëne tönö Wäö quëwengampa , ante ",pïïmïnipa,True, 
 ," Wëñënäni näni wedö baï Wäö ïñömö cenguï cënämaï tepë bedämaï ponte quëwëñongante ñöwodäni guiquënë , Wëne tönö Wäö quëwengampa , ante ",pïïnänipa,True, 
 , Mönö ede Wengonguï tönö mönö godongämë ,pïincabo,True, ïñömonte tömengä Wengä mönö beyë weetë wengä beyenque mönö Wengonguï tönö godongämë piyënë cemö bagamöimpa 
 ," Apënecä ëñëñönäni Pegodo guiquënë Itota ingante nänënë mäocä godinque , Quïmë wence änewëë , wee ante tece ",pïince,True," ceyongante ,"
 ," Ämo ëñëmaïmïnipa ,’ ante ",pïinceboimpa,True, 
 , Weetë mïnitö waodäni näni wëne wëne cedïnö ante ñimpo cedämaï ïmïni adinque ede mönö Mempo adobaï mïnitö wëne wëne cedïnö ante ñimpo cedämaï inte pönö ,pïincecäimpa,True," ,” ante Itota apënegacäimpa "
 ," Ayë , Coditoidi ïmïnipëë , ante tömänäni botö ëmöwo beyenque mïnitö ïmïnite nanguï ",pïincedänimpa,True, 
 ," Waocä adocanque ingante , Waingä ingampa , äninque wacä ingante wïï ",pïincemïnimpa,True," , ante yewëmongatimpa "
 , Tömengä tontadoidi nanguï ïnäni tönö ,pïincete,True," ante pöñongante botö ebänö cete ede wee cequïmoo , ante täno pönëë conguënë ingampa "
 ," Tömënäni ïñömö , ‘ Bitö guiidengä ingante waadete cee ,’ äninque ede , ‘ Në ",pïingä,True," ingante näëmë pïinte cee ,’ ante wee änänitapa "
 , Weetë ecänö nänö tönïñacä ingante në ,pïingää,True, wëmö ïñömö quëwengampa 
 ," Wengonguï nänö apente anguïöne ïinque bayonte Todömä quëwengaïnäni ïnänite nanguï pangä wedäni incete mïnitö ïmïnite godömenque pangä wecemïnimpa ,” ante Itota tömënäni ïnänite ",pïingacäimpa,True, 
 ," Paditeoidi guiquënë , — Wëneidi awënë tönö cedingä inte tömengä wido cecä apa änewënänii , ante ",pïingadänimpa,True, 
 , Ñöwo ïñömö Wengonguï anquedo ocäñequi ïñömö pöninque tömënäni näni në ,pïingaingä,True," adocä Möitee ingante , Bitö idegoidi awënë bacebiimpa , angacäimpa "
 ," Ayë , “ Mänömaï beyë bitö , Wengonguï quï , ante näni iya täïmoga godoncete ante tece cedinque , Æ , botö tönïñacä ingante ede wëne wëne cebo ",pïingampa,True," , ante pönëmi ïninque ,"
 ," Ayë , Mïnitö quëwëñömö botö bamönengë nanguï cebo adïmïni ince mïnitö wëne wëne mïni cedïnö ante , Ancaa wewente awedö , ante dice wemïnitawogaa , ante pïïninque Itota wayömö wayömö tömengä nänö nanguï cedïñömö quëwënäni ïnänite ïïmaïnö ante mä ",pïingantapa,True, 
 , Mönö Awënë mïnitö ïmïnite apente ante ,pïingantawo,True, 
 ," Mänïnö , Mönö ",pïingëimpa,True," , ante näni pönëwënö ante Itota ïñömö önöwënenque ede do ëñëninque ede nï cömampoingä ingante , — Bitö engë gantidinque teceguedë pö në gongëe "
 ," Ante Itota tömänäni ayönänite nö apënecä ëñente wedinque ñënënäni näni da pönönïnäni weetë , Mönö edö cete ",pïinguïï,True," , ante guingo imonte wedinque pe wëënegadänimpa "
 , Në ëñënämaï cedäni inguipogaque näni ceïnëwënonque ante ceyönänite Wengonguï nänö ,pïinguïmämo,True, oo ponguïnö anguënë 
 ," Ayë godömenque , Mönö wengonguïnä Diänä waa pönï wengonguïnä ïnampa , ante Atiabe tömäo quëwënäni tönö inguipoga tömäo quëwënäni näni waa adönä ïñönante wabänö wapiticë tededinque godö ",pïinguïnäni,True," badänipa , ante awedö "
 ," Ïninque mäningä onquiyengä ince Wengonguï në apente angä weca pöninque mïni ñöwo quëwencabo tönö godongämë ongöninque , Mïni pante wequinque ëñënämaï ingamïnimpa töö , ante apente ",pïinguingä,True, ingampa 
 ," Ayë , Wacä Awënë Odeye ëñacampa , ante tededäni ëñente wedinque mänïöme tömäme awënë odeye Edode weetë ",pïinte,True, bayongä Eedotadëë quëwënäni tömänäni tömengä tönö godongämë guïñente wedänitapa 
