x,” Mänömaïnö ante Wengonguï beyë yewëmonte ,ongö,True," apa änewëë , äninque Baa angantapa "
 ," Ayë godongämë ongönäni ïnänite , Ee ",ongöedäni,True," , äninque Pegodo ingante , Tantiago tönö Wäö näna caya ïnate mänimpodänique ïnänite ente gocantapa "
 , Ede wacä bitö tömempaga ïnö pönö tamongä wedïmi inte bitö weetë ëmempaga ïnö dadi ëmëmonte ee ,ongömi,True, weetë tamongäe 
 , Mïnitö ïñömö ,ongömïni,True," pancamïniya ïñömö ayë wënämaï mïïmïni quëwëñömïni botö Waobo ëñagaïmo inte Awënë Odeye bate ponte a ongömo adinque mïnitö botö nempo quëwencemïnimpa ,” ante Itota apënegacäimpa "
 ," Mïnitö , Wengonguï oncö ñënencö waa pönï ongoncompa , ante ayömïni ede botö ñöwo mïnitö weca në ongömo guiquënë wïï Wengonguï oncö baï ongömo inte wïï önömoque ",ongömo,True,pa 
 , Æi gote ,ongömö,True," ate adocanque , Waocä në ëñagaingä eyömönö ongongää , ante wadäni ïnänite godö odömongä bei ongonguïnäni "
 , Tömämöni ayë ,ongömöni,True, apa quëwëë 
 ," Mïnitö , Wengonguï oncö ñënencö waa pönï ongoncompa , ante ayömïni ede botö ñöwo mïnitö weca në ongömo guiquënë wïï Wengonguï oncö baï ongömo inte wïï önömoque ",ongömopa,True, 
 ," Tömengä wëmëidi ïïmaï ëmongadänimpa , ante yewëmonte ",ongompa,True, 
 ," Awënë Pidato ïñömö tömënäni ïnänite äninque , — Mënaa ",ongöna,True, ïñönate mïnitö ecänö ingante ämïni ñimpo cebo goquingää 
 , Botö weca ,ongönämaï,True," gobäwe , angantapa "
 , Dao dao gocä ate wedinque godongämë ,ongönäni,True," ïñömö , Æbänö cecäï , ante ëñënämaï inte guïñente wedinque , Wengonguï pönö cecä beyenque waocä ñöwo në angä badinque mänömaï cecä amönipa , ante pönëninque , Wengonguï bitö ñäö baï ëmömi inte tëï pïñente cebi amönipa , ante watapë apënegadänimpa "
 , Mänïñömö do pöninque në wee ante odömönäni tönö oodeoidi ïnänite në aadäni näni Picencabo tönö do a ,ongönänimpa,True, 
 , — Bitö badä bitö biwïidi bitö ïmite apënecete ante oncodo ponte yabeque ,ongönänipa,True, cebii 
 , Tömengä nänö të contate ongöñömö nanguï ïnäni tömäo goto ponte ongönäni adinque tömengä weetë wipodë go guiite të contate wäï wocente owoyongä tömënäni ayë gäwapë yewedecaque ömaaque ,ongönänitapa,True, 
 ," Mänömaï apënecä ëñente wedinque awënëidi weetë , Ïñempa në aaquënënäni näni ceïnö ante odömonte apënedinque Itota mönö ïmonte pïinte angä awedö , ante pönëninque tömengä ingante bei ",ongonce,True, cedänitapa 
 , Bitö ñöwoöne ince wente godinque do wente gogaïnäni näni watapë quëwëñömö botö tönö guëa ,ongoncebiimpa,True," , angacäimpa "
 , Mëönaa go adoöneque ïñonte geye cencadë Cönäö wodi nänö ongongaï baï ede botö adobaï Waobo ëñagaïmo inte ede mëönaa go adoöneque adopoöne wao wodido ,ongonceboimpa,True, 
 , Mänïñedë waoda tömëmoncodë guëa ceyöna adocanque ingante ö ënäni goyongä adocanque weetë a ,ongoncecäimpa,True, 
 , Ayë yemïñë ongönïnäni inte weetë yecado ponte ,ongoncedänimpa,True," ,” ante Itota apënegacäimpa "
 , “ Mïnitö oda cedämaï tëï gongente ,ongoncemïnimpa,True," , ante cedinque botö mïnitö ïmïnite mänïnö ante tömänö apënetabopa "
 , Ïincayë ate eyepë pönï bayonte Wengonguï ince mönitö ïmönite engö cecä ,ongoncemönimpa,True," , ante cedinque mïnitö ñöwo ïñömö në tëï pïñengä önönempo ongöninque nämä engö cedämaï ïedäni "
 , Ayë yecado ongöïnente wecä ïñömö tömengä yecado ,ongoncete,True, ante cedinque weetë ede yemïñë pönï gote tömänäni ïnänite në cecä badinque tömengä nämä beyë ante cedämaï inguënengä ingampa 
x, Öönedë ,ongoncoo,True, guiquënë to tamönämaï impa 
 , Mänïï näni adincönë go guiite ayönäni Wëñengä ïñömö wäänä Mäadiya tönö ,ongongä,True," adinque tömënäni Wëñengä weca ede weëninque , Bitö Wengonguï Awënë ïmidö anguënë , ante watapë apënedänitapa "
 ," Adocanque , Waocä në ëñagaingä ïñömö eyömönö ",ongongää,True," , ante godö odömöninque botö ïmote waodäni nempo pede godongä encedänimpa "
 , Æite apënedinque wëmö bayö tömengä adocanque a ,ongongacäimpa,True, 
 , Mänïnö ante apënecä ate Itota ïñömö önompo ëmempoque go adoöneque ïinque go ate Pegodo ingante Tantiago tönö Wäö ïnate mänimpodänique ïnänite änanquidi mëicä adodänique eibe eite ,ongongadänimpa,True, 
 , Mëönaa go adoöneque ïñonte geye cencadë Cönäö wodi nänö ,ongongaï,True, baï ede botö adobaï Waobo ëñagaïmo inte ede mëönaa go adoöneque adopoöne wao wodido ongonceboimpa 
 , Mönö në pangä önoncadopo do ,ongongaïnäni,True, ïnänipa 
 ," Adinque tömënäni ede , Mönö ace pönongä ïñömö ",ongongampa,True," , ante pönëninque watapë togadänimpa "
 , Idegoidi weca tömengä nänö ponte a ,ongonganca,True, önömeca quëwengacäimpa 
 ," Ante weyongä ede Baa äninque tömengä , Tömanta ede cöwë pönömi ëmo ate tabaïmipa , äninque ede tee mönecä ",ongongantapa,True, 
 ," Ëñëninque Peto weetë tömënäni ïnänite ede , Pabodo ïñempa Tetadea ïñömö tee mönete ",ongongantawo,True, 
 , Möitee wodi önömeca tente näni badöninto ëninque awäa ñä cedinque gö cecä a ,ongongatimpa,True, 
 , Weetë ede ëmontai mïincadedë pe ñïñente ate yede ëninque tei ebënämaï ee ongöñö ede mïïmë tönö ëmontaicade adobaï ee ,ongongëimpa,True," , apa quëwëmïnii ,” ante Itota apënegacäimpa "
 ," Ede , Botö nämä në waa cebo ïnömo inte ede yecado ",ongonguënëmo,True," ïmopa , ante në cecä ïñömö tömengä ïñömö weentodonte baï guingo imonte wececäimpa "
 , Codito tömengä nänö apente anguimpaa gäänë mönö tömämö ponte ede a ,ongonguënëmö,True, ïmompa 
 , Weetë ede ëmontai mïincadedë pe ñïñente ate yede ëëninque tei ebënämaï ee ,ongonguï,True," apa quëwëmïni ,” ante Itota apënegacäimpa "
 ," Æi gote ongömö ate adocanque , Waocä në ëñagaingä eyömönö ongongää , ante wadäni ïnänite godö odömongä bei ",ongonguïnäni,True, 
 , Æyedënö Wengonguï wënäni tëï ëmonte badinque edonque a ,ongonguïnänii,True," , ante acete ante ede Wengonguï nänö badongaincoo ince nanguï aïnente wedinque wänö conte baï ongoncoopa "
 ," Mänïnö beyë , Mönö Awënë Itota Codito eyedënö pöninque edonque pönï a ",ongonguingä,True," , ante wänö cöninque mïnitö wenteye badämaï incemïnimpa , ante cedinque Wengonguï Önöwoca pönö apënecä ëñëninque mïnitö eyepë inte waa cequïmïni ïmïnipa "
 , Ayë ëmonga pönï nänö ,ongonguinque,True, tömengä wente ate tänocä në ñäni ömëmongaingä ïnongä ingampa 
x," Ïninque ïïmö ate tömënäni , Wipo ömedë bate wodëï bacëimpa , ante cedinque mäincoo ñënempodë ",ongönincoo,True, ince epënë ede wido wido cedäni gotapa 
 , Mänömaï cedinque Itota do wëningä ince ñäni ömëmonte quëwente mempoga do ponte a ,ongöningä,True, inte ñöwo tömengä ëmïñënïnäni weca mempoga go adopoque pongacäimpa 
 , Ayë ate awënë Edode wengä ïninque Ootee ïñömö Equitobe ayë quëwëninque wïïmöñongä Wengonguï anquedo ponte a ,ongöninque,True, tömengä ingante apënecantapa 
 ," Ïninque , Woboyë mëa go mëa ïñonte mönö a ",ongönö,True," ïnö inguipoga go pëmënämaï , ante cedinque cedänitapa "
 , Në cënäni ïñömö onguïñënänique ante tee mampote coatodo mïido ganca baï ïnäni inte ,ongönönänimpa,True, 
 ," Ayë , Itota ince näwä Awënë ïnongä ingampa , ante në apënecä ïñongante Etebä wodi ingante wënönäni wëñongä botö ede Ao äninque në wënönäni weocoo aate a ",ongontabopa,True," , ante tömënäni do agaïnäni inte botö ïmote waa aquïnäni ïnänipa "
 , Ayë Wengonguï oncö ñënencö ince önonconque baï baquinque tömengä wëne wëne cecä adinque mönitö tömengä ingante bei ,ongontamönipa,True, 
